V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,subj_name,block,card_shown,correct_card,card_chosen_if_perseveration,trial_in_a_sequence,name_of_task,card_shape,card_number,card_color,rt,is_correct,chosen_card,is_error,is_perseverative_error,is_non_perseverative_error,group
40,4,0,1,shape,star,2,yellow,6653,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,40,4,0,1,shape,star,2,yellow,6653,1,4,0,0,0,an
35,4,0,2,shape,star,1,red,3080,2,1,1,0,1,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,35,4,0,2,shape,star,1,red,3080,2,1,1,0,1,an
52,2,0,3,shape,triangle,1,yellow,3322,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,52,2,0,3,shape,triangle,1,yellow,3322,1,2,0,0,0,an
34,4,0,4,shape,star,1,green,1628,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,34,4,0,4,shape,star,1,green,1628,1,4,0,0,0,an
33,4,0,5,shape,star,1,blue,1468,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,33,4,0,5,shape,star,1,blue,1468,1,4,0,0,0,an
1,1,0,6,shape,circle,1,blue,2350,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,1,1,0,6,shape,circle,1,blue,2350,1,1,0,0,0,an
39,4,0,7,shape,star,2,red,1732,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,39,4,0,7,shape,star,2,red,1732,1,4,0,0,0,an
7,1,0,8,shape,circle,2,red,1566,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,7,1,0,8,shape,circle,2,red,1566,1,1,0,0,0,an
56,2,0,9,shape,triangle,2,yellow,1133,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,56,2,0,9,shape,triangle,2,yellow,1133,1,2,0,0,0,an
14,1,0,10,shape,circle,4,green,2004,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,14,1,0,10,shape,circle,4,green,2004,1,1,0,0,0,an
