V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,subj_name,block,card_shown,correct_card,card_chosen_if_perseveration,trial_in_a_sequence,name_of_task,card_shape,card_number,card_color,rt,is_correct,chosen_card,is_error,is_perseverative_error,is_non_perseverative_error
40,4,0,1,shape,star,2,yellow,6653,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,40,4,0,1,shape,star,2,yellow,6653,1,4,0,0,0
35,4,0,2,shape,star,1,red,3080,2,1,1,0,1,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,35,4,0,2,shape,star,1,red,3080,2,1,1,0,1
52,2,0,3,shape,triangle,1,yellow,3322,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,52,2,0,3,shape,triangle,1,yellow,3322,1,2,0,0,0
34,4,0,4,shape,star,1,green,1628,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,34,4,0,4,shape,star,1,green,1628,1,4,0,0,0
33,4,0,5,shape,star,1,blue,1468,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,33,4,0,5,shape,star,1,blue,1468,1,4,0,0,0
1,1,0,6,shape,circle,1,blue,2350,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,1,1,0,6,shape,circle,1,blue,2350,1,1,0,0,0
39,4,0,7,shape,star,2,red,1732,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,39,4,0,7,shape,star,2,red,1732,1,4,0,0,0
7,1,0,8,shape,circle,2,red,1566,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,7,1,0,8,shape,circle,2,red,1566,1,1,0,0,0
56,2,0,9,shape,triangle,2,yellow,1133,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,56,2,0,9,shape,triangle,2,yellow,1133,1,2,0,0,0
14,1,0,10,shape,circle,4,green,2004,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,1,14,1,0,10,shape,circle,4,green,2004,1,1,0,0,0
62,4,2,1,number,triangle,4,green,1165,2,2,1,1,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,62,4,2,1,number,triangle,4,green,1165,2,2,1,1,0
58,3,2,2,number,triangle,3,green,3853,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,58,3,2,2,number,triangle,3,green,3853,1,3,0,0,0
26,3,3,3,number,cross,3,green,1263,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,26,3,3,3,number,cross,3,green,1263,1,3,0,0,0
30,4,3,4,number,cross,4,green,2193,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,30,4,3,4,number,cross,4,green,2193,1,4,0,0,0
50,1,2,5,number,triangle,1,green,3947,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,50,1,2,5,number,triangle,1,green,3947,1,1,0,0,0
17,1,3,6,number,cross,1,blue,802,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,17,1,3,6,number,cross,1,blue,802,1,1,0,0,0
11,3,1,7,number,circle,3,red,3741,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,11,3,1,7,number,circle,3,red,3741,1,3,0,0,0
53,2,2,8,number,triangle,2,blue,1118,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,53,2,2,8,number,triangle,2,blue,1118,1,2,0,0,0
16,4,1,9,number,circle,4,yellow,1350,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,16,4,1,9,number,circle,4,yellow,1350,1,4,0,0,0
37,2,4,10,number,star,2,blue,1064,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,2,37,2,4,10,number,star,2,blue,1064,1,2,0,0,0
46,2,4,1,color,star,4,green,1717,2,4,1,1,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,46,2,4,1,color,star,4,green,1717,2,4,1,1,0
45,3,4,2,color,star,4,blue,4635,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,45,3,4,2,color,star,4,blue,4635,1,3,0,0,0
27,1,3,3,color,cross,3,red,1403,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,27,1,3,3,color,cross,3,red,1403,1,1,0,0,0
15,1,4,4,color,circle,4,red,968,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,15,1,4,4,color,circle,4,red,968,1,1,0,0,0
19,1,1,5,color,cross,1,red,1491,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,19,1,1,5,color,cross,1,red,1491,1,1,0,0,0
57,3,3,6,color,triangle,3,blue,2752,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,57,3,3,6,color,triangle,3,blue,2752,1,3,0,0,0
22,2,2,7,color,cross,2,green,958,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,22,2,2,7,color,cross,2,green,958,1,2,0,0,0
49,3,1,8,color,triangle,1,blue,1540,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,49,3,1,8,color,triangle,1,blue,1540,1,3,0,0,0
51,1,1,9,color,triangle,1,red,1370,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,51,1,1,9,color,triangle,1,red,1370,1,1,0,0,0
13,3,4,10,color,circle,4,blue,1534,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,3,13,3,4,10,color,circle,4,blue,1534,1,3,0,0,0
32,3,4,1,shape,cross,4,yellow,1433,2,4,1,1,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,32,3,4,1,shape,cross,4,yellow,1433,2,4,1,1,0
28,3,4,2,shape,cross,3,yellow,6687,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,28,3,4,2,shape,cross,3,yellow,6687,1,3,0,0,0
23,3,1,3,shape,cross,2,red,1270,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,23,3,1,3,shape,cross,2,red,1270,1,3,0,0,0
9,1,3,4,shape,circle,3,blue,1741,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,9,1,3,4,shape,circle,3,blue,1741,1,1,0,0,0
64,2,4,5,shape,triangle,4,yellow,2453,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,64,2,4,5,shape,triangle,4,yellow,2453,1,2,0,0,0
36,4,4,6,shape,star,1,yellow,1860,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,36,4,4,6,shape,star,1,yellow,1860,1,4,0,0,0
63,2,1,7,shape,triangle,4,red,2141,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,63,2,1,7,shape,triangle,4,red,2141,1,2,0,0,0
59,2,1,8,shape,triangle,3,red,3621,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,59,2,1,8,shape,triangle,3,red,3621,1,2,0,0,0
20,3,4,9,shape,cross,1,yellow,2368,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,20,3,4,9,shape,cross,1,yellow,2368,1,3,0,0,0
2,1,2,10,shape,circle,1,green,1525,1,1,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,4,2,1,2,10,shape,circle,1,green,1525,1,1,0,0,0
24,2,3,1,number,cross,2,yellow,1883,2,3,1,1,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,24,2,3,1,number,cross,2,yellow,1883,2,3,1,1,0
5,2,1,2,number,circle,2,blue,1109,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,5,2,1,2,number,circle,2,blue,1109,1,2,0,0,0
42,3,4,3,number,star,3,green,1255,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,42,3,4,3,number,star,3,green,1255,1,3,0,0,0
10,3,1,4,number,circle,3,green,1146,1,3,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,10,3,1,4,number,circle,3,green,1146,1,3,0,0,0
29,4,3,5,number,cross,4,blue,2353,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,29,4,3,5,number,cross,4,blue,2353,1,4,0,0,0
47,4,4,6,number,star,4,red,927,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,47,4,4,6,number,star,4,red,927,1,4,0,0,0
31,4,3,7,number,cross,4,red,718,1,4,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,31,4,3,7,number,cross,4,red,718,1,4,0,0,0
38,2,4,8,number,star,2,green,1209,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,38,2,4,8,number,star,2,green,1209,1,2,0,0,0
21,2,3,9,number,cross,2,blue,1754,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,21,2,3,9,number,cross,2,blue,1754,1,2,0,0,0
6,2,1,10,number,circle,2,green,1570,1,2,0,0,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,5,6,2,1,10,number,circle,2,green,1570,1,2,0,0,0
12,4,3,1,color,circle,3,yellow,1667,2,3,1,1,0,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,12,4,3,1,color,circle,3,yellow,1667,2,3,1,1,0
61,3,4,2,color,triangle,4,blue,1550,2,2,1,0,1,wcst_pazienti.2021-01-13-1503.data.e5a13894-5283-4d43-bb0a-43b91a22416d.txt,6,61,3,4,2,color,triangle,4,blue,1550,2,2,1,0,1
